brew_id,potion_sku,shop_id,cauldron_id,brewed_at,batch_size,brew_duration_minutes,quality_check,brewer_name
BRW-00001,POT-0063,SHP-14,CDR-12,2026-03-14T08:39:06Z,51,103,pass,Isolde Frostpetal
BRW-00002,POT-0030,SHP-13,CDR-28,2026-02-24 09:36:55,16,68,fail,Belladonna Emberwhisk
BRW-00003,POT-0037,SHP-02,CDR-17,2026-01-16 09:00:26,57,76,pass,Morwenna Netherfield
BRW-00004,POT-0051,SHP-08,CDR-39,2026-03-25 05:00:36,59,45,pass,Morwenna Netherfield
BRW-00005,POT-0024,SHP-13,CDR-17,2026-06-15T08:56:37Z,26,130,pass,Gideon Brightmantle
BRW-00006,POT-0116,SHP-09,CDR-03,2024-06-06 06:40:40,57,90,pass,Corvin Netherfield
BRW-00007,POT-0028,SHP-06,CDR-21,2026-05-09T06:35:20Z,42,39,fail,Gideon Stormbottle
BRW-00008,POT-0020,SHP-11,CDR-21,2025-12-31T06:40:32Z,19,161,Pass,Corvin Netherfield
BRW-00009,POT-0053,SHP-13,CDR-26,2025-07-04 07:57:24,59,93,pass,Peregrine Zellandine
BRW-00010,POT-0114,SHP-01,CDR-05,2025-03-12T11:29:55Z,57,64,pass,Seraphine Mistlethorn
BRW-00011,POT-0107,SHP-05,CDR-04,2026-04-21 11:55:53,33,85,pass,Gideon Stormbottle
BRW-00012,POT-0105,SHP-13,CDR-24,2025-04-19T06:56:33Z,38,130,pass,Caspian Brightmantle
BRW-00013,POT-0044,SHP-12,CDR-15,2026-04-21T08:37:29Z,25,46,pass,Fenwick Barrowmere
BRW-00014,POT-0016,SHP-11,CDR-18,2026-04-09T11:58:01Z,24,101,pass,Gideon Gorsebush
BRW-00015,POT-0095,SHP-12,CDR-38,2026-03-12 09:12:10,45,176,FAIL,Isolde Duskwater
BRW-00016,POT-0068,SHP-10,CDR-11,2025-04-23 05:39:40,16,61,PASS,Umbra Barrowmere
BRW-00017,POT-0106,SHP-01,CDR-36,2026-01-15T09:43:57Z,32,62,pass,Gideon Brightmantle
BRW-00018,POT-0047,SHP-14,CDR-30,2026-03-04T05:24:02Z,35,108,Pass,Maribel Glimmerstone
BRW-00019,POT-0059,SHP-03,CDR-11,2026-05-30 11:58:55,25,108,pass,Peregrine Zellandine
BRW-00020,POT-0047,SHP-09,CDR-35,2026-03-20T10:06:37Z,37,110,pass,Rowan Hazelrigg
BRW-00021,POT-0092,SHP-01,CDR-23,2024-12-26 08:41:42,39,54,pass,Corvin Netherfield
BRW-00022,POT-0118,SHP-13,CDR-15,2026-06-07T08:52:46Z,13,56,pass,Gideon Brightmantle
BRW-00023,POT-0067,SHP-06,CDR-26,2024-10-08T09:14:20Z,20,46,pass,Belladonna Mistlethorn
BRW-00024,POT-0099,SHP-11,CDR-18,2026-04-16T11:55:04Z,56,146,pass,Peregrine Zellandine
BRW-00025,POT-0016,SHP-07,CDR-13,2026-04-07T11:37:24Z,39,101,fail,Corvin Netherfield
BRW-00026,POT-0091,SHP-08,CDR-06,2025-07-16 06:27:03,52,15,pass,Morwenna Netherfield
BRW-00027,POT-0013,SHP-12,CDR-10,2026-04-02T08:58:06Z,55,101,pass,Caspian Wandwright
BRW-00028,POT-0103,SHP-09,CDR-35,2025-12-30T06:17:52Z,59,119,pass,Thaddeus Ravenscroft
BRW-00029,POT-0022,SHP-07,CDR-19,2025-02-16T11:27:50Z,21,94,pass,Caspian Brightmantle
BRW-00030,POT-0036,SHP-11,CDR-26,2024-12-12T08:51:46Z,41,77,pass,Thaddeus Owlsworth
BRW-00031,POT-0019,SHP-02,CDR-05,2026-05-05T09:50:52Z,35,87,pass,Vesper Brightmantle
BRW-00032,POT-0008,SHP-02,CDR-19,2025-11-04 08:06:10,31,68,PASS,Quilla Jackdaw
BRW-00033,POT-0025,SHP-04,CDR-10,2024-06-13 07:54:37,48,65,pass,Elowen Gorsebush
BRW-00034,POT-0015,SHP-10,CDR-12,2026-06-15T06:10:58Z,13,79,pass,Grizelda Mistlethorn
BRW-00035,POT-0043,SHP-13,CDR-24,2025-10-17 10:58:43,38,65,pass,Corvin Netherfield
BRW-00036,POT-0023,SHP-02,CDR-37,2024-10-16T05:39:31Z,59,162,pass,Grizelda Mistlethorn
BRW-00037,POT-0090,SHP-14,CDR-12,2025-08-07T11:27:14Z,12,82,pass,Thaddeus Owlsworth
BRW-00038,POT-0080,SHP-15,CDR-20,2025-05-15T10:59:11Z,43,115,pass,Vesper Brightmantle
BRW-00039,POT-0017,SHP-05,CDR-38,2026-02-01T11:46:30Z,29,117,pass,Grizelda Mistlethorn
BRW-00040,POT-0102,SHP-03,CDR-20,2025-01-06T07:50:01Z,55,78,pass,Isolde Hazelrigg
BRW-00041,POT-0090,SHP-05,CDR-39,2026-06-03T06:19:12Z,35,82,PASS,Caspian Wandwright
BRW-00042,POT-0112,SHP-11,CDR-37,2025-04-18 06:30:28,43,102,pass,Ignatius Ravenscroft
BRW-00043,POT-0056,SHP-06,CDR-24,2026-04-08T07:50:02Z,15,91,pass,Ignatius Ravenscroft
BRW-00044,POT-0023,SHP-14,CDR-35,2026-04-21T06:25:14Z,31,164,pass,Belladonna Mistlethorn
BRW-00045,POT-0087,SHP-02,CDR-10,2026-04-22 11:17:48,10,80,pass,Quilla Jackdaw
BRW-00046,POT-0076,SHP-03,CDR-25,2026-04-24 10:07:19,26,30,pass,Thaddeus Owlsworth
BRW-00047,POT-0063,SHP-03,CDR-33,2025-07-21T10:24:00Z,54,65,pass,Elowen Gorsebush
BRW-00048,POT-0091,SHP-09,CDR-09,2024-12-15T08:21:26Z,54,15,pass,Isolde Duskwater
BRW-00049,POT-0008,SHP-13,CDR-10,2025-11-09T09:44:01Z,56,47,pass,Corvin Netherfield
BRW-00050,POT-0119,SHP-04,CDR-07,2025-08-22T05:09:36Z,36,59,pass,Belladonna Emberwhisk
BRW-00051,POT-0056,SHP-07,CDR-37,2026-04-06T05:19:36Z,14,98,pass,Quilla Jackdaw
BRW-00052,POT-0109,SHP-15,CDR-02,2026-03-29T05:21:26Z,38,136,Pass,Belladonna Emberwhisk
BRW-00053,POT-0054,SHP-07,CDR-36,2026-01-16T07:05:58Z,32,53,pass,Gideon Brightmantle
BRW-00054,POT-0107,SHP-11,CDR-26,2026-06-06 08:06:33,20,63,pass,Caspian Wandwright
BRW-00055,POT-0058,SHP-03,CDR-32,2025-03-17T05:06:52Z,12,129,PASS,Quilla Jackdaw
BRW-00056,POT-0113,SHP-11,CDR-11,2025-11-05T09:32:53Z,52,168,pass,Gideon Hollowbranch
BRW-00057,POT-0020,SHP-13,CDR-12,2025-11-18T06:40:58Z,20,124,pass,Gideon Hollowbranch
BRW-00058,POT-0102,SHP-03,CDR-22,2025-10-27T07:36:36Z,34,56,pass,Isolde Hazelrigg
BRW-00059,POT-0006,SHP-06,CDR-03,2026-04-08T10:09:26Z,58,113,fail,Peregrine Zellandine
BRW-00060,POT-0014,SHP-09,CDR-35,2026-04-15T08:19:31Z,30,41,pass,Caspian Wandwright
BRW-00061,POT-0046,SHP-08,CDR-14,2024-10-02T05:36:28Z,54,70,Pass,Thaddeus Ravenscroft
BRW-00062,POT-0096,SHP-01,CDR-36,2026-06-24T06:41:32Z,14,134,PASS,Corvin Netherfield
BRW-00063,POT-0066,SHP-08,CDR-19,2024-12-24T09:46:07Z,31,95,pass,Belladonna Mistlethorn
BRW-00064,POT-0107,SHP-15,CDR-14,2025-07-19T10:45:32Z,49,52,Pass,Corvin Netherfield
BRW-00065,POT-0030,SHP-09,CDR-04,2025-10-18T09:41:41Z,29,72,pass,Rowan Hazelrigg
BRW-00066,POT-0106,SHP-12,CDR-15,2025-08-27T10:08:23Z,60,89,PASS,Belladonna Mistlethorn
BRW-00067,POT-0058,SHP-03,CDR-29,2026-01-20T09:00:17Z,58,128,Pass,Umbra Barrowmere
BRW-00068,POT-0117,SHP-09,CDR-34,2025-05-10T11:59:55Z,49,75,pass,Isolde Hazelrigg
BRW-00069,POT-0021,SHP-07,CDR-34,2024-07-10T11:26:52Z,50,93,pass,Seraphine Mistlethorn
BRW-00070,POT-0116,SHP-06,CDR-14,2025-09-11T05:41:29Z,34,119,PASS,Isolde Frostpetal
BRW-00071,POT-0021,SHP-04,CDR-22,2024-07-17 07:36:25,60,88,Fail,Caspian Wandwright
BRW-00072,POT-0079,SHP-03,CDR-09,2024-11-19 07:26:14,16,67,Pass,Quilla Jackdaw
BRW-00073,POT-0023,SHP-12,CDR-31,2025-08-26T11:27:30Z,32,146,FAIL,Isolde Hazelrigg
BRW-00074,POT-0116,SHP-03,CDR-08,2025-06-25T07:58:51Z,30,94,pass,Morwenna Netherfield
BRW-00075,POT-0096,SHP-15,CDR-11,2025-02-10T06:34:31Z,35,124,pass,Seraphine Mistlethorn
BRW-00076,POT-0105,SHP-06,CDR-16,2025-05-16T05:14:00Z,39,134,Pass,Gideon Brightmantle
BRW-00077,POT-0014,SHP-14,CDR-06,2026-05-02 05:38:15,28,57,Pass,Nimbus Thistledown
BRW-00078,POT-0066,SHP-01,CDR-18,2026-02-28T07:30:15Z,22,92,PASS,Thaddeus Ravenscroft
BRW-00079,POT-0057,SHP-04,CDR-06,2025-10-31 11:59:37,10,48,pass,Isolde Frostpetal
BRW-00080,POT-0025,SHP-12,CDR-14,2025-11-30T06:45:13Z,27,50,pass,Isolde Duskwater
BRW-00081,POT-0008,SHP-05,CDR-32,2026-05-20 11:54:04,42,77,pass,Caspian Wandwright
BRW-00082,POT-0101,SHP-07,CDR-22,2025-01-31T07:00:48Z,44,132,pass,Quilla Jackdaw
BRW-00083,POT-0028,SHP-14,CDR-31,2026-04-29T08:09:43Z,25,113,Pass,Thaddeus Ravenscroft
BRW-00084,POT-0101,SHP-10,CDR-09,2025-03-25 11:41:42,14,137,pass,Belladonna Mistlethorn
BRW-00085,POT-0002,SHP-11,CDR-09,2026-06-10T06:11:27Z,42,61,pass,Vesper Brightmantle
BRW-00086,POT-0009,SHP-10,CDR-20,2024-09-15T05:57:10Z,18,79,pass,Nimbus Thistledown
BRW-00087,POT-0065,SHP-04,CDR-32,2026-06-14T07:25:59Z,42,38,pass,Umbra Barrowmere
BRW-00088,POT-0028,SHP-10,CDR-06,2026-03-23T06:18:48Z,36,71,pass,Quilla Copperkettle
BRW-00089,POT-0101,SHP-01,CDR-26,2025-06-09T10:56:14Z,11,170,pass,Gideon Stormbottle
BRW-00090,POT-0104,SHP-13,CDR-20,2025-02-28 07:32:08,22,149,Pass,Maribel Glimmerstone
BRW-00091,POT-0042,SHP-07,CDR-26,2024-10-05T11:34:21Z,41,116,pass,Fenwick Barrowmere
BRW-00092,POT-0008,SHP-12,CDR-18,2026-06-27T07:26:13Z,60,71,pass,Maribel Glimmerstone
BRW-00093,POT-0113,SHP-15,CDR-13,2026-01-26 10:30:14,16,156,pass,Isolde Hazelrigg
BRW-00094,POT-0023,SHP-11,CDR-09,2025-02-01T08:21:12Z,22,158,Pass,Nimbus Thistledown
BRW-00095,POT-0095,SHP-04,CDR-30,2025-08-29 11:27:19,33,114,pass,Thaddeus Ravenscroft
BRW-00096,POT-0042,SHP-10,CDR-25,2025-04-01 09:46:52,35,96,pass,Caspian Wandwright
BRW-00097,POT-0009,SHP-12,CDR-07,2025-08-26T11:25:47Z,12,50,pass,Maribel Glimmerstone
BRW-00098,POT-0041,SHP-10,CDR-34,2026-01-29T05:23:19Z,60,128,pass,Seraphine Mistlethorn
BRW-00099,POT-0047,SHP-03,CDR-28,2025-08-04T05:02:04Z,55,117,pass,Vesper Brightmantle
BRW-00100,POT-0035,SHP-05,CDR-34,2026-02-08T11:56:11Z,14,72,pass,Seraphine Mistlethorn
BRW-00101,POT-0047,SHP-07,CDR-01,2025-01-02 08:51:52,56,88,pass,Maribel Glimmerstone
BRW-00102,POT-0046,SHP-13,CDR-03,2026-05-22T07:49:33Z,45,15,pass,Morwenna Netherfield
BRW-00103,POT-0036,SHP-01,CDR-27,2025-02-20T10:11:56Z,20,88,pass,Quilla Copperkettle
BRW-00104,POT-0057,SHP-15,CDR-04,2025-08-04T09:49:45Z,31,72,PASS,Quilla Copperkettle
BRW-00105,POT-0051,SHP-13,CDR-28,2026-02-13T09:11:42Z,54,52,pass,Umbra Barrowmere
BRW-00106,POT-0041,SHP-07,CDR-38,2024-05-24 05:02:45,16,138,pass,Vesper Brightmantle
BRW-00107,POT-0010,SHP-04,CDR-36,2026-05-21 10:10:35,34,120,pass,Gideon Brightmantle
BRW-00108,POT-0059,SHP-04,CDR-17,2026-06-25T09:13:13Z,13,101,pass,Isolde Duskwater
BRW-00109,POT-0120,SHP-13,CDR-37,2025-06-01 06:36:22,48,73,pass,Umbra Barrowmere
